strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_margin,0.54,0.04,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.54,0.05,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.2750,0.1957,0.7708,0.8043,0.7872,0.8043,0.5581,0.1744,15,2,116.5000,37,11,9,29,0.7558,0.7872,116.5000
cosine_margin,0.54,0.06,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.2750,0.1957,0.7708,0.8043,0.7872,0.8043,0.5581,0.1744,15,2,116.5000,37,11,9,29,0.7558,0.7872,116.5000
cosine_margin,0.54,0.07,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.2500,0.2174,0.7826,0.7826,0.7826,0.7826,0.5349,0.1977,17,2,111.1000,36,10,10,30,0.7558,0.7826,111.1000
cosine_margin,0.54,0.08,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.2500,0.2174,0.7826,0.7826,0.7826,0.7826,0.5349,0.1977,17,2,111.1000,36,10,10,30,0.7558,0.7826,111.1000
cosine_margin,0.54,0.09,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2250,0.2609,0.7907,0.7391,0.7640,0.7391,0.5000,0.2326,20,2,108.0000,34,9,12,31,0.7442,0.7640,108.0000
cosine_margin,0.54,0.10,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.2250,0.2826,0.7857,0.7174,0.7500,0.7174,0.4884,0.2442,21,2,110.3000,33,9,13,31,0.7326,0.7500,110.3000
cosine_margin,0.55,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_margin,0.55,0.01,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3000,0.1522,0.7647,0.8478,0.8041,0.8478,0.5930,0.1395,12,2,119.6000,39,12,7,28,0.7674,0.8041,119.6000
cosine_margin,0.55,0.02,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.3000,0.1739,0.7600,0.8261,0.7917,0.8261,0.5814,0.1512,13,2,121.9000,38,12,8,28,0.7558,0.7917,121.9000
cosine_margin,0.55,0.03,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3000,0.2174,0.7500,0.7826,0.7660,0.7826,0.5581,0.1744,15,2,126.5000,36,12,10,28,0.7326,0.7660,126.5000
cosine_margin,0.55,0.04,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3000,0.2174,0.7500,0.7826,0.7660,0.7826,0.5581,0.1744,15,2,126.5000,36,12,10,28,0.7326,0.7660,126.5000
cosine_margin,0.55,0.05,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.55,0.06,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.55,0.07,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2500,0.2391,0.7778,0.7609,0.7692,0.7609,0.5233,0.2093,18,2,113.4000,35,10,11,30,0.7442,0.7692,113.4000
cosine_margin,0.55,0.08,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2500,0.2391,0.7778,0.7609,0.7692,0.7609,0.5233,0.2093,18,2,113.4000,35,10,11,30,0.7442,0.7692,113.4000
cosine_margin,0.55,0.09,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.2250,0.2826,0.7857,0.7174,0.7500,0.7174,0.4884,0.2442,21,2,110.3000,33,9,13,31,0.7326,0.7500,110.3000
